"","latitude","longitude","reviewCount","checkins"
"7006",35.373193,-80.7249889,7,19
"17306",36.1135342,-115.1684081,74,119
"11157",36.1790447,-115.2422629,13,39
"15424",33.36470032,-111.9299469,8,82
"20566",33.3356969,-111.8208673,92,241
"11920",33.474169,-112.064757,13,45
"12320",36.1714322,-115.141835,12,48
"16216",33.38483047,-111.8067551,17,96
"14799",35.3530844,-80.8550431,11,73
"8334",33.4652322,-112.1697371,5,24
"10755",33.380981,-111.7396444,7,37
"4691",40.06959884,-88.24905396,10,12
"15080",45.524014,-73.5946548,31,77
"14525",33.608627,-111.7216796,41,70
"23371",36.1432711,-115.2627634,307,609
"18701",33.5102402,-112.2724547,24,158
"6124",43.47741773,-80.52500378,29,16
"2119",33.608375,-112.3591069,9,6
"23193",33.44699547,-112.0738731,158,561
"19189",35.232204,-80.848589,60,176
"16229",36.125183,-115.246394,9,96
"7528",35.196491,-80.826048,16,21
"14776",36.1362847,-115.1514119,58,73
"7291",33.3924049,-111.978725,3,20
"508",45.5433475,-73.5964824,4,3
"22244",33.51145453,-112.0285133,186,384
"19362",33.4510909,-111.8029925,14,183
"6113",33.3933856,-111.8533443,8,16
"20332",35.2273874,-80.8420686,27,226
"4113",33.484011,-112.048027,10,10
"7312",40.1167919,-88.205811,16,20
"14505",35.2521909,-81.0451697,34,70
"19635",36.0295345,-115.0850915,58,193
"7811",43.47271886,-80.53792633,10,22
"5923",33.4508692,-111.7726177,4,15
"7914",36.1062236,-115.1745805,5,22
"4896",45.5196166,-73.5733436,8,12
"14588",35.106407,-80.8077349,29,71
"9147",33.41543959,-111.582073,14,28
"23694",40.4891418,-79.8930872,325,735
"7476",40.488538,-79.885471,19,21
"19645",36.10782457,-115.1755318,77,194
"2721",33.319395,-111.874965,7,7
"15601",33.552105,-112.260983,9,85
"18770",36.00668267,-115.0964674,34,160
"5415",45.4812766,-73.5781642,7,14
"22928",33.31944792,-111.9833422,56,503
"21594",36.2391779,-115.2262988,12,316
"19937",33.4949943,-112.0473119,119,208
"16016",33.50165,-111.917857,5,92
"20070",33.5840139,-111.9222691,57,214
